000428,华天酒店,华天酒店集团股份有限公司,酒店
000429,粤高速A,广东省高速公路发展股份有限公司,高速公路
000430,张家界,张家界旅游集团股份有限公司,景区
000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,造纸
000498,山东路桥,山东高速路桥集团股份有限公司,路桥建设
000501,鄂武商A,武汉武商集团股份有限公司,百货
000502,绿景控股,绿景控股股份有限公司,房地产开发
000503,国新健康,国新健康保障服务集团股份有限公司,电子商务B2B
000504,南华生物,南华生物医药股份有限公司,节能环保
000505,京粮控股,海南京粮控股股份有限公司,房地产开发
000506,中润资源,中润资源投资股份有限公司,黄金
000507,珠海港,珠海港股份有限公司,港口
000509,华塑控股,华塑控股股份有限公司,其他建材
000510,金路集团,四川金路集团股份有限公司,氯碱
000511,烯碳退,银基烯碳新材料集团股份有限公司,非金属新材料
000513,丽珠集团,丽珠医药集团股份有限公司,化学制剂
000514,渝开发,重庆渝开发股份有限公司,房地产开发
000516,国际医学,西安国际医学投资股份有限公司,百货
000517,荣安地产,荣安地产股份有限公司,房地产开发
000518,四环生物,江苏四环生物股份有限公司,生物医药
000519,中兵红箭,中兵红箭股份有限公司,超硬材料
000520,长航凤凰,长航凤凰股份有限公司,航运
000521,长虹美菱,长虹美菱股份有限公司,冰箱、空调
000523,广州浪奇,广州市浪奇实业股份有限公司,洗涤产品
000524,岭南控股,广州岭南集团控股股份有限公司,餐饮
000525,红太阳,南京红太阳股份有限公司,农药
000526,紫光学大,厦门紫光学大股份有限公司,教育培训
000528,柳工,广西柳工机械股份有限公司,工程机械
000529,广弘控股,广东广弘控股股份有限公司,肉制品
000530,大冷股份,大连冷冻机股份有限公司,制冷空调设备
000531,穗恒运A,广州恒运企业集团股份有限公司,火电
000532,华金资本,珠海华金资本股份有限公司,电子零部件
000533,顺钠股份,广东顺钠电气股份有限公司,厨卫电器
000534,万泽股份,万泽实业股份有限公司,房地产开发
000536,华映科技,华映科技(集团)股份有限公司,显示器件
000537,广宇发展,天津广宇发展股份有限公司,房地产开发
000538,云南白药,云南白药集团股份有限公司,中药生产
000539,粤电力A,广东电力发展股份有限公司,火电
000540,中天金融,中天金融集团股份有限公司,房地产开发
000541,佛山照明,佛山电器照明股份有限公司,照明设备
000543,皖能电力,安徽省皖能股份有限公司,火电
000544,中原环保,中原环保股份有限公司,污水处理
000545,金浦钛业,金浦钛业股份有限公司,其他化学原料
000546,金圆股份,金圆环保股份有限公司,水泥
000547,航天发展,航天工业发展股份有限公司,通信传输设备
000548,湖南投资,湖南投资集团股份有限公司,高速公路
000550,江铃汽车,江铃汽车股份有限公司,商用车
000551,创元科技,创元科技股份有限公司,综合
000552,靖远煤电,甘肃靖远煤电股份有限公司,煤炭开采洗选
000553,安道麦A,安道麦股份有限公司,农药
000554,泰山石油,中国石化山东泰山石油股份有限公司,石油天然气贸易
000555,神州信息,神州数码信息服务股份有限公司,其他软件服务
000557,西部创业,宁夏西部创业实业股份有限公司,铁路运输
000558,莱茵体育,莱茵达体育发展股份有限公司,体育运营
000559,万向钱潮,万向钱潮股份有限公司,汽车零部件
000560,我爱我家,我爱我家控股集团股份有限公司,百货
