index_col,stock_code,shortname,fullname,city,region,income,profit,number,comedate,book,report,industry,product,bussiness
751,2285,世联行,深圳世联行地产顾问股份有限公司,深圳市,罗湖区,--,--,28534,2009-08-28,--,,房地产服务,主营业务:房地产咨询、房地产代理、房地产经纪、物业管理,房地产咨询、房地产代理、房地产经纪、物业管理
752,2286,保龄宝,保龄宝生物股份有限公司,德州市,禹城市,--,--,998,2009-08-28,--,,糖醇,主营业务:以农副产品为原料经生物工程深加工生产、销售低聚糖、果葡糖浆、赤藓糖醇等产品。,以农副产品为原料经生物工程深加工生产、销售低聚糖、果葡糖浆、赤藓糖醇等产品。
753,2287,奇正藏药,西藏奇正藏药股份有限公司,林芝市,巴宜区,--,--,1866,2009-08-28,--,,中药生产,主营业务:藏药的研发、生产和销售,藏药的研发、生产和销售
754,2288,超华科技,广东超华科技股份有限公司,梅州市,梅县区,--,--,2402,2009-09-03,--,,印制电路板,主营业务:CCL、单双面及多层PCB及其上游的电子铜箔、专用木浆纸、半固化片（PP）等产品的研发、生产和销售。,CCL、单双面及多层PCB及其上游的电子铜箔、专用木浆纸、半固化片（PP）等产品的研发、生产和销售。
755,2289,宇顺电子,深圳市宇顺电子股份有限公司,深圳市,南山区,--,--,1403,2009-09-03,--,,显示器件,主营业务:液晶显示屏及模组、触摸屏及模组、触摸显示一体化模组、玻璃盖板等产品的研发、生产和销售。,液晶显示屏及模组、触摸屏及模组、触摸显示一体化模组、玻璃盖板等产品的研发、生产和销售。
756,2290,中科新材,苏州中科创新型材料股份有限公司,苏州市,吴中区,--,--,818,2009-09-03,--,,家电用复合材、金融业-商业保理,主营业务:专业从事家电外观复合材料（PCM/VCM）的研发、生产和销售,专业从事家电外观复合材料（PCM/VCM）的研发、生产和销售
757,2291,星期六,星期六股份有限公司,佛山市,南海区,--,--,6255,2009-09-03,--,,鞋帽,主营业务:时尚女鞋的生产销售,时尚女鞋的生产销售
758,2292,奥飞娱乐,奥飞娱乐股份有限公司,汕头市,澄海区,--,--,6493,2009-09-10,--,,动漫,主营业务:动漫影视片制作、发行、授权以及动漫玩具和非动漫玩具的开发、生产与销售、媒体广告的经营。,动漫影视片制作、发行、授权以及动漫玩具和非动漫玩具的开发、生产与销售、媒体广告的经营。
759,2293,罗莱生活,罗莱生活科技股份有限公司,南通市,通州区,--,--,3161,2009-09-10,--,,家纺,主营业务:家纺产品和家居产品的研发、生产与销售。,家纺产品和家居产品的研发、生产与销售。
760,2294,信立泰,深圳信立泰药业股份有限公司,深圳市,福田区,--,--,4622,2009-09-10,--,,化学制剂,主营业务:从事开发研究、生产化学原料药、粉针剂、片剂、胶囊。,从事开发研究、生产化学原料药、粉针剂、片剂、胶囊。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
761,2295,精艺股份,广东精艺金属股份有限公司,佛山市,顺德区,--,--,664,2009-09-29,--,,铜,主营业务:金属加工设备、精密铜管和铜管深加工产品的生产和销售。,金属加工设备、精密铜管和铜管深加工产品的生产和销售。
762,2296,辉煌科技,河南辉煌科技股份有限公司,郑州市,郑州市,--,--,752,2009-09-29,--,,通信终端设备,主营业务:铁路信号通信领域产品的研制开发、生产及销售。,铁路信号通信领域产品的研制开发、生产及销售。
763,2297,博云新材,湖南博云新材料股份有限公司,长沙市,岳麓区,--,--,899,2009-09-29,--,,非金属新材料,主营业务:航空航天及民用炭\炭复合材料、汽车刹车和粉末冶金材料的研发、生产和销售,航空航天及民用炭\炭复合材料、汽车刹车和粉末冶金材料的研发、生产和销售
764,2298,中电兴发,安徽中电兴发与鑫龙科技股份有限公司,芜湖市,鸠江区,--,--,1506,2009-09-29,--,,其他输变电设备,主营业务:公共安全与反恐、智慧城市，输配电及控制设备制造及服务、电力设计及服务,公共安全与反恐、智慧城市，输配电及控制设备制造及服务、电力设计及服务
765,2299,圣农发展,福建圣农发展股份有限公司,南平市,光泽县,--,--,22280,2009-10-21,--,,畜牧养殖,主营业务:肉鸡饲养和肉鸡屠宰加工,肉鸡饲养和肉鸡屠宰加工
766,2300,太阳电缆,福建南平太阳电缆股份有限公司,南平市,延平区,--,--,2141,2009-10-21,--,,电线电缆,主营业务:电线电缆制造,电线电缆制造
767,2301,齐心集团,深圳齐心集团股份有限公司,深圳市,福田区,--,--,2938,2009-10-21,--,,文化用品,主营业务:办公物资研发、生产和销售；企业级SaaS服务。,办公物资研发、生产和销售；企业级SaaS服务。
768,2302,西部建设,中建西部建设股份有限公司,乌鲁木齐市,新市区,--,--,5446,2009-11-03,--,,其他建材,主营业务:从事高性能预拌砼的生产、销售及其新技术、新工艺的研究开发与推广;新型建材及化工材料的研究及生产应用,从事高性能预拌砼的生产、销售及其新技术、新工艺的研究开发与推广;新型建材及化工材料的研究及生产应用
769,2303,美盈森,美盈森集团股份有限公司,深圳市,宝安区,--,--,5593,2009-11-03,--,,包装印刷,主营业务:轻型包装产品、重型包装产品、电子标签及RFID产品的研发、生产与销售，并为客户提供包装产品设计、包装方案优化、包装材料第三方采购与包装产品物流配送、供应商库存管理以及现场辅助包装作业等包装一体化服务,轻型包装产品、重型包装产品、电子标签及RFID产品的研发、生产与销售，并为客户提供包装产品设计、包装方案优化、包装材料第三方采购与包装产品物流配送、供应商库存管理以及现场辅助包装作业等包装一体化服务
770,2304,洋河股份,江苏洋河酒厂股份有限公司,宿迁市,宿迁市,--,--,15026,2009-11-06,--,,白酒,主营业务:洋河、双沟系列白酒的生产和销售,洋河、双沟系列白酒的生产和销售
771,2305,南国置业,南国置业股份有限公司,武汉市,武昌区,--,--,725,2009-11-06,--,,房地产开发,主营业务:以商业地产为引导的综合性物业开发。,以商业地产为引导的综合性物业开发。
772,2306,*ST云网,中科云网科技集团股份有限公司,北京市,海淀区,--,--,468,2009-11-11,--,,餐饮,主营业务:酒楼餐饮服务、团餐餐饮服务和快餐餐饮服务,酒楼餐饮服务、团餐餐饮服务和快餐餐饮服务
773,2307,北新路桥,新疆北新路桥集团股份有限公司,乌鲁木齐市,新市区,--,--,4250,2009-11-11,--,,路桥建设,主营业务:公路工程、桥梁工程、隧道工程和市政交通工程等公共交通基础设施的施工,公路工程、桥梁工程、隧道工程和市政交通工程等公共交通基础设施的施工
774,2308,威创股份,威创集团股份有限公司,广州市,黄埔区,--,--,2436,2009-11-27,--,,专用计算机设备,主营业务:超高分辨率数字拼接墙系统业务和幼儿园运营管理服务,超高分辨率数字拼接墙系统业务和幼儿园运营管理服务
775,2309,中利集团,江苏中利集团股份有限公司,苏州市,常熟市,--,--,8142,2009-11-27,--,,太阳能,主营业务:特种电缆业务,特种电缆业务
776,2310,东方园林,北京东方园林环境股份有限公司,北京市,朝阳区,--,--,6129,2009-11-27,--,,园林工程,"主营业务:生态湿地、园林建设和水利市政等设计施工,向政府提供集生态城市规划、水利工程设计、市政工程施工一体化的全产业链服务。","生态湿地、园林建设和水利市政等设计施工,向政府提供集生态城市规划、水利工程设计、市政工程施工一体化的全产业链服务。"
777,2311,海大集团,广东海大集团股份有限公司,广州市,番禺区,--,--,15138,2009-11-27,--,,饲料,主营业务:水产预混料、水产配合饲料和畜禽配合饲料的研发、生产和销售。,水产预混料、水产配合饲料和畜禽配合饲料的研发、生产和销售。
778,2312,三泰控股,成都三泰控股集团股份有限公司,成都市,金牛区,--,--,10221,2009-12-03,--,,金融设备,主营业务:从事金融电子设备生产、销售及金融外包服务,从事金融电子设备生产、销售及金融外包服务
779,2313,日海智能,日海智能科技股份有限公司,深圳市,南山区,--,--,2534,2009-12-03,--,,通信传输设备,主营业务:主要为电信运营商提供有线宽带/光纤宽带网络建设解决方案及产品、移动宽带/无线站点建设解决方案及产品、通信网络的勘察、设计、施工及代维服务,主要为电信运营商提供有线宽带/光纤宽带网络建设解决方案及产品、移动宽带/无线站点建设解决方案及产品、通信网络的勘察、设计、施工及代维服务
780,2314,南山控股,深圳市新南山控股(集团)股份有限公司,深圳市,南山区,--,--,3494,2009-12-03,--,,房地产开发,主营业务:组合集成房屋的租赁、安装、拆迁及售后服务;与船舶舱室配套产品的售后服务、塔机租赁及配套服务。,组合集成房屋的租赁、安装、拆迁及售后服务;与船舶舱室配套产品的售后服务、塔机租赁及配套服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
781,2315,焦点科技,焦点科技股份有限公司,南京市,浦口区,--,--,2013,2009-12-09,--,,电子商务B2B,主营业务:运营自主开发的中国制造网电子商务平台（Made-in-China.com）、百卓采购网（Abiz.com）、新一站保险网（xyz.cn）三大电子商务平台，针对跨境贸易的外贸综合服务、海外仓储服务,运营自主开发的中国制造网电子商务平台（Made-in-China.com）、百卓采购网（Abiz.com）、新一站保险网（xyz.cn）三大电子商务平台，针对跨境贸易的外贸综合服务、海外仓储服务
782,2316,亚联发展,深圳亚联发展科技股份有限公司,深圳市,南山区,--,--,1002,2009-12-09,--,,通信配套服务,主营业务:从事专网信息通信技术解决方案业务的服务商，主要为能源、交通等行业提供信息通信技术解决方案，包括相关软硬件产品的研发、制造与服务，以及第三方支付业务。,从事专网信息通信技术解决方案业务的服务商，主要为能源、交通等行业提供信息通信技术解决方案，包括相关软硬件产品的研发、制造与服务，以及第三方支付业务。
783,2317,众生药业,广东众生药业股份有限公司,东莞市,东莞市,--,--,1704,2009-12-11,--,,中药生产,主营业务:药品研发、生产、销售,药品研发、生产、销售
784,2318,久立特材,浙江久立特材科技股份有限公司,湖州市,南浔区,--,--,2856,2009-12-11,--,,特钢,主营业务:工业用不锈钢及特种合金管材、管件的研发、生产和销售,工业用不锈钢及特种合金管材、管件的研发、生产和销售
785,2319,乐通股份,珠海市乐通化工股份有限公司,珠海市,香洲区,--,--,441,2009-12-11,--,,油墨,主营业务:从事以凹印油墨为主的各类印刷油墨的技术开发、生产与销售,从事以凹印油墨为主的各类印刷油墨的技术开发、生产与销售
786,2320,海峡股份,海南海峡航运股份有限公司,海口市,秀英区,--,--,1302,2009-12-16,--,,航运,主营业务:海口至海安往返航线、海口至广州往返航线(已停运)、海口至北海往返航线、海口、三亚至西沙往返航线、泉州至金门往返航线,海口至海安往返航线、海口至广州往返航线(已停运)、海口至北海往返航线、海口、三亚至西沙往返航线、泉州至金门往返航线
787,2321,华英农业,河南华英农业发展股份有限公司,信阳市,潢川县,--,--,3242,2009-12-16,--,,畜牧养殖,主营业务:种鸭/鸡养殖、孵化、禽苗销售、饲料生产、商品鸭/鸡屠宰加工、冻品销售以及熟食、羽绒生产和销售,种鸭/鸡养殖、孵化、禽苗销售、饲料生产、商品鸭/鸡屠宰加工、冻品销售以及熟食、羽绒生产和销售
788,2322,理工环科,宁波理工环境能源科技股份有限公司,宁波市,北仑区,--,--,1571,2009-12-18,--,,电气自控设备,主营业务:智能电网在线监测、环境监测、电力信息化,智能电网在线监测、环境监测、电力信息化
789,2323,*ST百特,江苏雅百特科技股份有限公司,盐城市,盐都区,--,--,555,2009-12-18,--,,钢结构,主营业务:大型金属屋(墙)面围护系统和分布式光伏屋面系统工程的设计、制作、安装和服务,大型金属屋(墙)面围护系统和分布式光伏屋面系统工程的设计、制作、安装和服务
790,2324,普利特,上海普利特复合材料股份有限公司,上海市,虹口区,--,--,1372,2009-12-18,--,,塑料制品,主营业务:先进高分子材料和高性能纤维及其复合材料的研发、生产、销售和服务,先进高分子材料和高性能纤维及其复合材料的研发、生产、销售和服务
791,2325,洪涛股份,深圳洪涛集团股份有限公司,深圳市,罗湖区,--,--,2275,2009-12-22,--,,装修装饰,主营业务:承接酒店、剧院会场、写字楼、图书馆、医院、体育场馆等公共装饰工程的设计及施工。,承接酒店、剧院会场、写字楼、图书馆、医院、体育场馆等公共装饰工程的设计及施工。
792,2326,永太科技,浙江永太科技股份有限公司,台州市,临海市,--,--,2752,2009-12-22,--,,氟化工,主营业务:医药、农药和电子化学品业务,医药、农药和电子化学品业务
793,2327,富安娜,深圳市富安娜家居用品股份有限公司,深圳市,南山区,--,--,5854,2009-12-30,--,,家纺,主营业务:床上用品、家居用品和其他家纺产品的研发设计、生产和销售,床上用品、家居用品和其他家纺产品的研发设计、生产和销售
