HK0104,ASIA COMM HOLD,冠亚商业集团有限公司,钟表
HK0105,凯联国际酒店,凯联国际酒店有限公司,地产投资
HK0106,朗诗绿色集团,朗诗绿色集团有限公司,房地产
HK0107,四川成渝高速公路,四川成渝高速公路股份有限公司,公路运输
HK0108,国锐地产,国锐地产有限公司,物业管理
HK0109,天成国际,天成国际集团控股有限公司,信贷
HK0110,中国长远,中国长远控股有限公司,通信设备
HK0111,信达国际控股,信达国际控股有限公司,证券
HK0112,勒泰集团,勒泰商业地产有限公司,房地产
HK0113,迪生创建,迪生创建(国际)有限公司,服饰配件
HK0114,HERALD HOLD,兴利集团有限公司,玩具
HK0115,钧濠集团,钧濠集团有限公司,房地产
HK0116,周生生,周生生集团国际有限公司,珠宝首饰
HK0117,天利控股集团,天利控股集团有限公司,电子元器件
HK0118,大同机械,大同机械企业有限公司,电子元器件
HK0119,保利置业集团,保利置业集团有限公司,房地产
HK0120,COSMOPOL INT'L,四海国际集团有限公司,房地产
HK0121,卜蜂莲花,卜蜂莲花有限公司,超市及便利店
HK0122,鳄鱼恤,鳄鱼恤有限公司,服装
HK0123,越秀地产,越秀地产股份有限公司,房地产
HK0124,粤海置地,粤海置地控股有限公司,房地产
HK0125,新兴光学,新兴光学集团控股有限公司,眼镜
HK0126,佳宁娜,佳宁娜集团控股有限公司,综合
HK0127,华人置业,华人置业集团有限公司,地产投资
HK0128,安宁控股,安宁控股有限公司,服装配套
HK0129,泛海集团,泛海国际集团有限公司,房地产
HK0130,慕诗国际,慕诗国际集团有限公司,服装
HK0131,卓能(集团),卓能(集团)有限公司,地产投资
HK0132,中国兴业控股,中国兴业控股有限公司,酒店
HK0133,招商局中国基金,招商局中国基金有限公司,--
HK0135,昆仑能源,昆仑能源有限公司,油气开采
HK0136,恒腾网络,恒腾网络集团有限公司,消费电子
HK0137,金辉集团,金辉集团有限公司,港口运输
HK0138,中建富通,中建富通集团有限公司,资产管理
HK0139,中达集团控股,中国软实力科技集团有限公司,半导体
HK0141,大中华集团,大中华集团有限公司,地产投资
HK0142,第一太平,第一太平有限公司,包装食品
HK0143,国安国际,国安国际有限公司,通信设备
HK0144,招商局港口,招商局港口控股有限公司,港口运输
HK0145,香港建屋贷款,香港建屋贷款有限公司,其他服务
HK0146,TAI PING CARPET,太平地毡国际有限公司,纺织品
HK0147,国际商业结算,国际商业结算控股有限公司,房地产
HK0148,建滔集团,建滔化工集团有限公司,电子元器件
HK0149,中国农产品交易,中国农产品交易有限公司,农产品交易
HK0150,HYPEBEAST,--,--
HK0151,中国旺旺,中国旺旺控股有限公司,休闲食品
HK0152,深圳国际,深圳国际控股有限公司,公路运输
HK0153,中国赛特,中国赛特集团有限公司,建筑材料
HK0154,北京控股环境集团,北京控股环境集团有限公司,新能源
HK0155,中国源畅,中国源畅光电能源控股有限公司,新能源
HK0156,力宝华润,力宝华润有限公司,地产投资
HK0157,自然美,自然美生物科技有限公司,化妆品
HK0158,万邦投资,万邦投资有限公司,地产投资
HK0159,布莱克万矿业,布莱克万矿业有限公司,钢铁
HK0160,汉国置业,汉国置业有限公司,地产投资
HK0161,中航国际控股,中航国际控股股份有限公司,电子元器件
HK0162,世纪金花,世纪金花商业控股有限公司,百货商城
HK0163,英皇国际,英皇集团(国际)有限公司,地产投资
HK0164,中国宝力科技,中国宝力科技控股有限公司,旅游服务
HK0165,中国光大控股,中国光大控股有限公司,资产管理
HK0166,新时代能源,新时代能源有限公司,油气开采
HK0167,IDT INT'L,万威国际有限公司,消费电子
HK0168,青岛啤酒股份,青岛啤酒股份有限公司,啤酒
HK0169,万达酒店发展,万达酒店发展有限公司,房地产
HK0170,中国资本,中国资本(控股)有限公司,--
HK0171,银建国际,银建国际实业有限公司,地产投资
HK0172,金榜集团,金榜集团控股有限公司,信贷
HK0173,嘉华国际,嘉华国际集团有限公司,房地产
HK0174,盛洋投资,盛洋投资(控股)有限公司,资产管理
HK0175,吉利汽车,吉利汽车控股有限公司,汽车制造
HK0176,先机企业集团,先机企业集团有限公司,消费电子
HK0177,江苏宁沪高速公路,江苏宁沪高速公路股份有限公司,公路运输
HK0178,莎莎国际,莎莎国际控股有限公司,化妆品
HK0179,德昌电机控股,德昌电机控股有限公司,汽车零部件
HK0180,开达集团,开达集团有限公司,玩具
HK0181,闽港控股,闽港控股有限公司,酒店
HK0182,协合新能源,协合新能源集团有限公司,新能源
HK0183,宏辉集团,宏辉集团控股有限公司,房地产
